:START_ID(Street),:END_ID(Ward),:TYPE
street|0ebd5f84ffa1a8,ward|ho-chi-minh|phuong-phu-inh,IN_WARD
street|0f09420d7582fe,ward|ho-chi-minh|phuong-an-hoi-tay,IN_WARD
street|0f6a37772581a8,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
street|10349bb5884898,ward|ho-chi-minh|phuong-tan-phu,IN_WARD
street|1088984b92cf72,ward|ho-chi-minh|phuong-long-phuoc,IN_WARD
street|11afa054ea9816,ward|ho-chi-minh|phuong-trung-my-tay,IN_WARD
street|1217f7d14a2b65,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|1295d800b98577,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
street|12c4f4c6767497,ward|ho-chi-minh|phuong-vuon-lai,IN_WARD
street|12ce94c52d19ac,ward|ho-chi-minh|phuong-linh-xuan,IN_WARD
street|12ebb5bb2ce9d9,ward|ho-chi-minh|phuong-vung-tau,IN_WARD
street|12ecff92523fec,ward|ho-chi-minh|phuong-binh-hung-hoa,IN_WARD
street|130580e076c065,ward|ho-chi-minh|phuong-tam-binh,IN_WARD
street|13899046d47ca9,ward|ho-chi-minh|phuong-phuoc-long,IN_WARD
street|139e4e1ea88429,ward|ho-chi-minh|phuong-phu-nhuan,IN_WARD
street|13c6c22d161869,ward|ho-chi-minh|phuong-dien-hong,IN_WARD
street|140f0c01b7c433,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
street|142aaa4c6553e8,ward|ho-chi-minh|phuong-binh-loi-trung,IN_WARD
street|143109baf530de,ward|ho-chi-minh|phuong-tan-thoi-hiep,IN_WARD
street|153a1243066d9b,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
street|15620ccd5b694e,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
street|156604d2aeb159,ward|ho-chi-minh|phuong-tan-ong-hiep,IN_WARD
street|15a189de8486b1,ward|ho-chi-minh|phuong-phu-nhuan,IN_WARD
street|15da66f479a908,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|163b06040eb1ff,ward|ho-chi-minh|phuong-hoa-hung,IN_WARD
street|164ab8bf7776b0,ward|ho-chi-minh|phuong-dien-hong,IN_WARD
street|169bb03339d82b,ward|ho-chi-minh|phuong-nhieu-loc,IN_WARD
street|16d9a12ae40908,ward|ho-chi-minh|phuong-tam-binh,IN_WARD
street|175425eb4015d3,ward|ho-chi-minh|phuong-hoa-hung,IN_WARD
street|1763f2a662a058,ward|ho-chi-minh|phuong-thong-tay-hoi,IN_WARD
street|17807d4369bf1c,ward|ho-chi-minh|phuong-tan-my,IN_WARD
street|17989bbdfe3d3f,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|180763a6d59a33,ward|ho-chi-minh|phuong-tan-ong-hiep,IN_WARD
street|182baca72d1337,ward|ho-chi-minh|phuong-an-hoi-ong,IN_WARD
street|185d7c8de017dd,ward|ho-chi-minh|phuong-phuoc-long,IN_WARD
street|18ae4a175ffe51,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
street|18af2b25c52e11,ward|ho-chi-minh|phuong-tang-nhon-phu,IN_WARD
street|19068142236d88,ward|ho-chi-minh|phuong-binh-duong,IN_WARD
street|193fb0ccda1172,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
street|194b7e6fd59510,ward|ho-chi-minh|phuong-vung-tau,IN_WARD
street|199a23815b3cc1,ward|ho-chi-minh|phuong-thu-uc,IN_WARD
street|19d8c9d52b9f26,ward|ho-chi-minh|phuong-tan-son-nhi,IN_WARD
street|1a2f6e0b3a3156,ward|ho-chi-minh|xa-at-o,IN_WARD
street|1a5f31c1920c1c,ward|ho-chi-minh|phuong-an-hoi-tay,IN_WARD
street|1a7578ebeeafc0,ward|ho-chi-minh|phuong-phu-tho-hoa,IN_WARD
street|1a9ba0b2d39c10,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
street|1aa6055299dcf5,ward|ho-chi-minh|phuong-gia-inh,IN_WARD
street|1aca22f6cdeb1f,ward|ho-chi-minh|phuong-tang-nhon-phu,IN_WARD
street|1af4a7b34740ed,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
street|1b0cc29ebf0319,ward|ho-chi-minh|phuong-thong-tay-hoi,IN_WARD
street|1b256cde420766,ward|ho-chi-minh|phuong-cho-lon,IN_WARD
street|1b75ce5a8e476f,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
street|1bdc8599841978,ward|ho-chi-minh|phuong-chanh-hung,IN_WARD
street|1bee6b12deebc2,ward|ho-chi-minh|phuong-thu-dau-mot,IN_WARD
street|1c10790d6a2cb7,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
street|1c3ea2491ad967,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
street|1c524ab06d13cb,ward|ho-chi-minh|phuong-hanh-thong,IN_WARD
street|1cf2668ae9d899,ward|ho-chi-minh|phuong-cau-kieu,IN_WARD
street|1d10d51f1df62b,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
street|1d1c6884c83ff5,ward|ho-chi-minh|phuong-tam-thang,IN_WARD
street|1d7115b556063e,ward|ho-chi-minh|phuong-hanh-thong,IN_WARD
street|1df89c4b9a6e21,ward|ho-chi-minh|phuong-an-phu-ong,IN_WARD
street|1e09c666bc0041,ward|ho-chi-minh|phuong-gia-inh,IN_WARD
street|1e0a98cc6e8937,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
street|1e0d141e4ba1cb,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|1ea75a55612753,ward|ho-chi-minh|phuong-binh-tri-ong,IN_WARD
street|1ef61b50196d7f,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
street|1f1e80f34eada5,ward|ho-chi-minh|phuong-cho-quan,IN_WARD
street|1f2b12879ab3b3,ward|ho-chi-minh|phuong-tam-binh,IN_WARD
street|1f513a7ed76ebc,ward|ho-chi-minh|phuong-binh-ong,IN_WARD
street|1fbbb5e61a0994,ward|ho-chi-minh|phuong-binh-hung-hoa,IN_WARD
street|1fbcf88e09836e,ward|ho-chi-minh|phuong-tam-thang,IN_WARD
street|1fc331b9b90436,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
street|1ff44d09b75dc9,ward|ho-chi-minh|phuong-tan-binh,IN_WARD
street|2003c8ea111801,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
street|20048b0da4bc0c,ward|ho-chi-minh|phuong-tam-thang,IN_WARD
street|20aa71fb4841f6,ward|ho-chi-minh|phuong-tan-son-nhat,IN_WARD
street|20bfc623e97bdc,ward|ho-chi-minh|phuong-binh-hung-hoa,IN_WARD
street|20f357fc29b2f4,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|2126960969f713,ward|ho-chi-minh|phuong-thu-uc,IN_WARD
street|212e34f2bfc01c,ward|ho-chi-minh|phuong-gia-inh,IN_WARD
street|21ac691a88ed72,ward|ho-chi-minh|phuong-binh-thanh,IN_WARD
street|21b136c9923758,ward|ho-chi-minh|phuong-cau-kieu,IN_WARD
street|21ca3f596a2988,ward|ho-chi-minh|phuong-ban-co,IN_WARD
street|22168270b7f013,ward|ho-chi-minh|phuong-phu-thanh,IN_WARD
street|2266e908e7a553,ward|ho-chi-minh|phuong-khanh-hoi,IN_WARD
street|228db425a8492c,ward|ho-chi-minh|phuong-phu-nhuan,IN_WARD
street|22c3c076fa77f0,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
