amenity_id:ID(Amenity),name:string,category:string,latitude:float,longitude:float,street:string,address:string,operator:string,:LABEL
node/9587618722,Chợ Lạc Quang,market,10.8353586,106.6196328,Hẻm 305 Trường Chinh,,,Amenity;Market
node/9587618724,Công viên Làng Hoa Gò Vấp,park,10.8420884,106.6565352,Nguyễn Văn Khối,,,Amenity;Park
node/9587618729,Trường Trung học phổ thông Ngô Thời Nhiệm,school,10.8239464,106.7642689,Đường Hồ Bá Phấn,,,Amenity;School
node/9587618737,Trường Đại học Lao Động Xã Hội,college_university,10.8660801,106.6160408,Đường Tô Ký,,,Amenity;CollegeUniversity
node/9587618740,Đại học Nguyễn Tất Thành - Quận 12,college_university,10.8602415,106.6946936,,,,Amenity;CollegeUniversity
node/9587618741,Chợ Phú Hữu,market,10.7905502,106.789698,,,,Amenity;Market
node/9587618744,Coopmart Tam Bình,supermarket,10.8642107,106.73419,,,,Amenity;Supermarket
node/9587618747,Chợ Đầu mối Nông Sản Thực Phẩm Hóc Môn,market,10.8600343,106.6014401,,,,Amenity;Market
node/9587618753,Vincom Quận 2,mall,10.7882994,106.7657527,,,,Amenity;Mall
node/9593240659,Chợ Xóm Mới,market,10.8500841,106.6643054,Hẻm 869 Lê Đức Thọ,,,Amenity;Market
node/9593240662,Co.opmart,supermarket,10.8286526,106.6197414,Đường Phan Văn Hớn,"102, Đường Phan Văn Hớn",,Amenity;Supermarket
node/9593240669,CoopMart - Ngã Tư Chợ Đình,supermarket,10.9843561,106.6670087,,,,Amenity;Supermarket
node/9593278311,Chợ Bình Đáng,market,10.9193995,106.7290922,Đường N2,,,Amenity;Market
node/9593278312,Chợ Hài Mỹ,market,10.9745582,106.7154313,Đường D1,,,Amenity;Market
node/9593278313,Trường Tiểu Học Thuận Giao,school,10.9608258,106.7160416,,,,Amenity;School
node/9593340017,Bệnh Viện Đa khoa An Phú,hospital,10.9475149,106.7371674,,,,Amenity;Hospital
node/9593340023,Chợ Đêm Linh Trung,market,10.8896113,106.7269697,Đường Nguyễn Thị Diệp,,,Amenity;Market
node/9593340024,Bệnh Viện Hoàn Hảo 2,hospital,10.8910082,106.7273892,Đường Bình Hòa 24,,,Amenity;Hospital
node/9593340030,Chợ Phú Phong,market,10.9716237,106.7421133,Đường tỉnh 743A,,,Amenity;Market
node/9593358298,Chợ Đêm Man Thiện,mall,10.8500849,106.7963248,Man Thiện,,,Amenity;Mall
node/9593358301,Southern AEON Citimart Tân Thuận,supermarket,10.7515494,106.7352247,Đường D3,,,Amenity;Supermarket
node/9593358308,Chợ Bà Lát,market,10.7709448,106.5515239,Trần Văn Giàu,,,Amenity;Market
node/9593386637,Trường Cao đẳng Điện Lực Thành phố Hồ Chí Minh,college_university,10.8804047,106.6791582,,,,Amenity;CollegeUniversity
node/9593386645,Chợ Hưng Long,market,10.6579687,106.6082338,,,,Amenity;Market
node/9593572486,Chợ 78,market,10.9396653,106.7187971,,,,Amenity;Market
node/9593572497,Chợ 434,market,10.9179867,106.7343481,,,,Amenity;Market
node/9593797953,CoopMart Hiệp Thành,supermarket,10.877816,106.6399416,,,,Amenity;Supermarket
node/9593946639,Bệnh viện Gia An 115,hospital,10.7405442,106.607722,,,,Amenity;Hospital
node/9593946657,Chợ Tân Nhựt,market,10.7052372,106.5641671,,,,Amenity;Market
node/9593946662,Chợ Liên Ấp 123,market,10.7908531,106.5803932,Đường Liên Ấp 1-2-3,,,Amenity;Market
node/9645043685,Annam Gourmet,supermarket,10.7891717,106.7186066,Nguyễn Hữu Cảnh,"92, Nguyễn Hữu Cảnh, Binh Thanh, Phường 22",,Amenity;Supermarket
node/9694141325,Trường Tiểu Học Vạn Tường,school,10.7929023,106.6760754,Hẻm 48 Hồ Biểu Chánh,,,Amenity;School
node/9699800177,Trường Đại học Quản lý và Công nghệ Thành phố Hồ Chí Minh (UMT),college_university,10.7740881,106.7980152,Đường 60 - CL,"Đường 60 - CL, Phường Cát Lái, Thành phố Thủ Đức",,Amenity;CollegeUniversity
node/9722560649,Trường Đại học Hoa Sen - cơ sở Cao Thắng,college_university,10.7722267,106.6791108,Đường Cao Thắng,"93, Đường Cao Thắng",,Amenity;CollegeUniversity
node/9729070768,Chợ Cây Điệp,market,10.8111914,106.6953748,Nơ Trang Long,,,Amenity;Market
node/9734891598,Trường Cao đẳng Nova,college_university,10.7872016,106.6871226,Đường Nam Kỳ Khởi Nghĩa,"262, Đường Nam Kỳ Khởi Nghĩa",,Amenity;CollegeUniversity
