former_area_id:ID(FormerAdminArea),name:string,normalized_name:string,area_type:string,former_city_province:string,normalized_former_city_province:string,old_address:string,aliases:string,listing_count:int,mapped_ward_count:int,:LABEL
former-area|ho-chi-minh|quan-12,Quận 12,quan 12,Quận,Hồ Chí Minh,ho chi minh,"Quận 12, Hồ Chí Minh cũ","Quận 12|quan 12|Quận 12 cũ|quan 12 cu|Q12|q12|Q.12|q 12|Quan 12|Q12 cũ|q12 cu|Quan 12 cu|Quận 12, Hồ Chí Minh|quan 12 ho chi minh|Quận 12, Hồ Chí Minh cũ|quan 12 ho chi minh cu",156,5,FormerAdminArea
former-area|ho-chi-minh|quan-2,Quận 2,quan 2,Quận,Hồ Chí Minh,ho chi minh,"Quận 2, Hồ Chí Minh cũ","Quận 2|quan 2|Quận 2 cũ|quan 2 cu|Q2|q2|Q.2|q 2|Quan 2|Q2 cũ|q2 cu|Quan 2 cu|Quận 2, Hồ Chí Minh|quan 2 ho chi minh|Quận 2, Hồ Chí Minh cũ|quan 2 ho chi minh cu",136,3,FormerAdminArea
former-area|ho-chi-minh|quan-3,Quận 3,quan 3,Quận,Hồ Chí Minh,ho chi minh,"Quận 3, Hồ Chí Minh cũ","Quận 3|quan 3|Quận 3 cũ|quan 3 cu|Q3|q3|Q.3|q 3|Quan 3|Q3 cũ|q3 cu|Quan 3 cu|Quận 3, Hồ Chí Minh|quan 3 ho chi minh|Quận 3, Hồ Chí Minh cũ|quan 3 ho chi minh cu",105,3,FormerAdminArea
former-area|ho-chi-minh|quan-4,Quận 4,quan 4,Quận,Hồ Chí Minh,ho chi minh,"Quận 4, Hồ Chí Minh cũ","Quận 4|quan 4|Quận 4 cũ|quan 4 cu|Q4|q4|Q.4|q 4|Quan 4|Q4 cũ|q4 cu|Quan 4 cu|Quận 4, Hồ Chí Minh|quan 4 ho chi minh|Quận 4, Hồ Chí Minh cũ|quan 4 ho chi minh cu",61,3,FormerAdminArea
former-area|ho-chi-minh|quan-5,Quận 5,quan 5,Quận,Hồ Chí Minh,ho chi minh,"Quận 5, Hồ Chí Minh cũ","Quận 5|quan 5|Quận 5 cũ|quan 5 cu|Q5|q5|Q.5|q 5|Quan 5|Q5 cũ|q5 cu|Quan 5 cu|Quận 5, Hồ Chí Minh|quan 5 ho chi minh|Quận 5, Hồ Chí Minh cũ|quan 5 ho chi minh cu",54,3,FormerAdminArea
former-area|ho-chi-minh|quan-6,Quận 6,quan 6,Quận,Hồ Chí Minh,ho chi minh,"Quận 6, Hồ Chí Minh cũ","Quận 6|quan 6|Quận 6 cũ|quan 6 cu|Q6|q6|Q.6|q 6|Quan 6|Q6 cũ|q6 cu|Quan 6 cu|Quận 6, Hồ Chí Minh|quan 6 ho chi minh|Quận 6, Hồ Chí Minh cũ|quan 6 ho chi minh cu",19,4,FormerAdminArea
former-area|ho-chi-minh|quan-7,Quận 7,quan 7,Quận,Hồ Chí Minh,ho chi minh,"Quận 7, Hồ Chí Minh cũ","Quận 7|quan 7|Quận 7 cũ|quan 7 cu|Q7|q7|Q.7|q 7|Quan 7|Q7 cũ|q7 cu|Quan 7 cu|Quận 7, Hồ Chí Minh|quan 7 ho chi minh|Quận 7, Hồ Chí Minh cũ|quan 7 ho chi minh cu",227,4,FormerAdminArea
former-area|ho-chi-minh|quan-8,Quận 8,quan 8,Quận,Hồ Chí Minh,ho chi minh,"Quận 8, Hồ Chí Minh cũ","Quận 8|quan 8|Quận 8 cũ|quan 8 cu|Q8|q8|Q.8|q 8|Quan 8|Q8 cũ|q8 cu|Quan 8 cu|Quận 8, Hồ Chí Minh|quan 8 ho chi minh|Quận 8, Hồ Chí Minh cũ|quan 8 ho chi minh cu",78,4,FormerAdminArea
former-area|ho-chi-minh|quan-9,Quận 9,quan 9,Quận,Hồ Chí Minh,ho chi minh,"Quận 9, Hồ Chí Minh cũ","Quận 9|quan 9|Quận 9 cũ|quan 9 cu|Q9|q9|Q.9|q 9|Quan 9|Q9 cũ|q9 cu|Quan 9 cu|Quận 9, Hồ Chí Minh|quan 9 ho chi minh|Quận 9, Hồ Chí Minh cũ|quan 9 ho chi minh cu",221,5,FormerAdminArea
former-area|ho-chi-minh|quan-binh-tan,Quận Bình Tân,quan binh tan,Quận,Hồ Chí Minh,ho chi minh,"Quận Bình Tân, Hồ Chí Minh cũ","Quận Bình Tân|quan binh tan|Quận Bình Tân cũ|quan binh tan cu|QBình Tân|qbinh tan|Q.Bình Tân|q binh tan|Quan Bình Tân|QBình Tân cũ|qbinh tan cu|Quan Bình Tân cu|Quận Bình Tân, Hồ Chí Minh|quan binh tan ho chi minh|Quận Bình Tân, Hồ Chí Minh cũ|quan binh tan ho chi minh cu",168,5,FormerAdminArea
former-area|ho-chi-minh|quan-binh-thanh,Quận Bình Thạnh,quan binh thanh,Quận,Hồ Chí Minh,ho chi minh,"Quận Bình Thạnh, Hồ Chí Minh cũ","Quận Bình Thạnh|quan binh thanh|Quận Bình Thạnh cũ|quan binh thanh cu|QBình Thạnh|qbinh thanh|Q.Bình Thạnh|q binh thanh|Quan Bình Thạnh|QBình Thạnh cũ|qbinh thanh cu|Quan Bình Thạnh cu|Quận Bình Thạnh, Hồ Chí Minh|quan binh thanh ho chi minh|Quận Bình Thạnh, Hồ Chí Minh cũ|quan binh thanh ho chi minh cu",207,5,FormerAdminArea
former-area|ho-chi-minh|quan-go-vap,Quận Gò Vấp,quan go vap,Quận,Hồ Chí Minh,ho chi minh,"Quận Gò Vấp, Hồ Chí Minh cũ","Quận Gò Vấp|quan go vap|Quận Gò Vấp cũ|quan go vap cu|QGò Vấp|qgo vap|Q.Gò Vấp|q go vap|Quan Gò Vấp|QGò Vấp cũ|qgo vap cu|Quan Gò Vấp cu|Quận Gò Vấp, Hồ Chí Minh|quan go vap ho chi minh|Quận Gò Vấp, Hồ Chí Minh cũ|quan go vap ho chi minh cu",195,6,FormerAdminArea
former-area|ho-chi-minh|quan-phu-nhuan,Quận Phú Nhuận,quan phu nhuan,Quận,Hồ Chí Minh,ho chi minh,"Quận Phú Nhuận, Hồ Chí Minh cũ","Quận Phú Nhuận|quan phu nhuan|Quận Phú Nhuận cũ|quan phu nhuan cu|QPhú Nhuận|qphu nhuan|Q.Phú Nhuận|q phu nhuan|Quan Phú Nhuận|QPhú Nhuận cũ|qphu nhuan cu|Quan Phú Nhuận cu|Quận Phú Nhuận, Hồ Chí Minh|quan phu nhuan ho chi minh|Quận Phú Nhuận, Hồ Chí Minh cũ|quan phu nhuan ho chi minh cu",172,3,FormerAdminArea
former-area|ho-chi-minh|quan-tan-binh,Quận Tân Bình,quan tan binh,Quận,Hồ Chí Minh,ho chi minh,"Quận Tân Bình, Hồ Chí Minh cũ","Quận Tân Bình|quan tan binh|Quận Tân Bình cũ|quan tan binh cu|QTân Bình|qtan binh|Q.Tân Bình|q tan binh|Quan Tân Bình|QTân Bình cũ|qtan binh cu|Quan Tân Bình cu|Quận Tân Bình, Hồ Chí Minh|quan tan binh ho chi minh|Quận Tân Bình, Hồ Chí Minh cũ|quan tan binh ho chi minh cu",197,6,FormerAdminArea
former-area|ho-chi-minh|quan-tan-phu,Quận Tân Phú,quan tan phu,Quận,Hồ Chí Minh,ho chi minh,"Quận Tân Phú, Hồ Chí Minh cũ","Quận Tân Phú|quan tan phu|Quận Tân Phú cũ|quan tan phu cu|QTân Phú|qtan phu|Q.Tân Phú|q tan phu|Quan Tân Phú|QTân Phú cũ|qtan phu cu|Quan Tân Phú cu|Quận Tân Phú, Hồ Chí Minh|quan tan phu ho chi minh|Quận Tân Phú, Hồ Chí Minh cũ|quan tan phu ho chi minh cu",88,5,FormerAdminArea
former-area|ho-chi-minh|thanh-pho-thu-uc,Thành Phố Thủ Đức,thanh pho thu duc,Thành phố,Hồ Chí Minh,ho chi minh,"Thành Phố Thủ Đức, Hồ Chí Minh cũ","Thành Phố Thủ Đức|thanh pho thu duc|thanh pho thu uc|Thành Phố Thủ Đức cũ|thanh pho thu duc cu|thanh pho thu uc cu|TP Thủ Đức|tp thu duc|TP. Thủ Đức|Thanh pho thu uc|TP Thủ Đức cũ|tp thu duc cu|Thành Phố Thủ Đức, Hồ Chí Minh|thanh pho thu duc ho chi minh|Thành Phố Thủ Đức, Hồ Chí Minh cũ|thanh pho thu duc ho chi minh cu",170,11,FormerAdminArea
