:START_ID(Ward),:END_ID(FormerAdminArea),supporting_listing_count:int,:TYPE
ward|ho-chi-minh|phuong-long-huong,former-area|ba-ria-vung-tau|thanh-pho-ba-ria,1,MAPPED_FROM
ward|ho-chi-minh|phuong-long-nguyen,former-area|binh-duong|thanh-pho-ben-cat,1,MAPPED_FROM
ward|ho-chi-minh|phuong-long-phuoc,former-area|ho-chi-minh|quan-9,9,MAPPED_FROM
ward|ho-chi-minh|phuong-long-phuoc,former-area|ho-chi-minh|thanh-pho-thu-uc,2,MAPPED_FROM
ward|ho-chi-minh|phuong-long-truong,former-area|ho-chi-minh|quan-9,36,MAPPED_FROM
ward|ho-chi-minh|phuong-long-truong,former-area|ho-chi-minh|thanh-pho-thu-uc,4,MAPPED_FROM
ward|ho-chi-minh|phuong-minh-phung,former-area|ho-chi-minh|quan-11,8,MAPPED_FROM
ward|ho-chi-minh|phuong-nhieu-loc,former-area|ho-chi-minh|quan-3,40,MAPPED_FROM
ward|ho-chi-minh|phuong-ong-hoa,former-area|binh-duong|thanh-pho-di-an,8,MAPPED_FROM
ward|ho-chi-minh|phuong-ong-hung-thuan,former-area|ho-chi-minh|quan-12,22,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-inh,former-area|ho-chi-minh|quan-8,34,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-lam,former-area|ho-chi-minh|quan-6,3,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-loi,former-area|binh-duong|thanh-pho-thu-dau-mot,6,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-nhuan,former-area|ho-chi-minh|quan-phu-nhuan,56,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-thanh,former-area|ho-chi-minh|quan-tan-phu,21,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-tho,former-area|ho-chi-minh|quan-11,6,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-tho-hoa,former-area|ho-chi-minh|quan-tan-phu,22,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-thuan,former-area|ho-chi-minh|quan-7,99,MAPPED_FROM
ward|ho-chi-minh|phuong-phuoc-long,former-area|ho-chi-minh|quan-9,17,MAPPED_FROM
ward|ho-chi-minh|phuong-phuoc-long,former-area|ho-chi-minh|thanh-pho-thu-uc,3,MAPPED_FROM
ward|ho-chi-minh|phuong-phuoc-thang,former-area|ba-ria-vung-tau|thanh-pho-vung-tau,8,MAPPED_FROM
ward|ho-chi-minh|phuong-rach-dua,former-area|ba-ria-vung-tau|thanh-pho-vung-tau,6,MAPPED_FROM
ward|ho-chi-minh|phuong-sai-gon,former-area|ho-chi-minh|quan-1,18,MAPPED_FROM
ward|ho-chi-minh|phuong-tam-binh,former-area|ho-chi-minh|thanh-pho-thu-uc,16,MAPPED_FROM
ward|ho-chi-minh|phuong-tam-thang,former-area|ba-ria-vung-tau|thanh-pho-vung-tau,34,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-binh,former-area|ho-chi-minh|quan-tan-binh,40,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-hoa,former-area|ho-chi-minh|quan-tan-binh,11,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-hung,former-area|ho-chi-minh|quan-7,64,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-inh,former-area|ho-chi-minh|quan-1,35,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-my,former-area|ho-chi-minh|quan-7,16,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-ong-hiep,former-area|binh-duong|thanh-pho-di-an,4,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-phu,former-area|ho-chi-minh|quan-tan-phu,10,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-son,former-area|ho-chi-minh|quan-tan-binh,31,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-son-hoa,former-area|ho-chi-minh|quan-tan-binh,35,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-son-nhat,former-area|ho-chi-minh|quan-tan-binh,39,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-son-nhi,former-area|ho-chi-minh|quan-tan-phu,28,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-tao,former-area|ho-chi-minh|quan-binh-tan,15,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-thoi-hiep,former-area|ho-chi-minh|quan-12,12,MAPPED_FROM
ward|ho-chi-minh|phuong-tan-thuan,former-area|ho-chi-minh|quan-7,48,MAPPED_FROM
ward|ho-chi-minh|phuong-tang-nhon-phu,former-area|ho-chi-minh|quan-9,44,MAPPED_FROM
ward|ho-chi-minh|phuong-tang-nhon-phu,former-area|ho-chi-minh|thanh-pho-thu-uc,5,MAPPED_FROM
ward|ho-chi-minh|phuong-tay-thanh,former-area|ho-chi-minh|quan-tan-phu,7,MAPPED_FROM
ward|ho-chi-minh|phuong-thanh-my-tay,former-area|ho-chi-minh|quan-binh-thanh,50,MAPPED_FROM
ward|ho-chi-minh|phuong-thoi-an,former-area|ho-chi-minh|quan-12,56,MAPPED_FROM
ward|ho-chi-minh|phuong-thoi-hoa,former-area|binh-duong|thanh-pho-ben-cat,14,MAPPED_FROM
ward|ho-chi-minh|phuong-thong-tay-hoi,former-area|ho-chi-minh|quan-go-vap,55,MAPPED_FROM
ward|ho-chi-minh|phuong-thu-dau-mot,former-area|binh-duong|thanh-pho-thu-dau-mot,8,MAPPED_FROM
ward|ho-chi-minh|phuong-thu-uc,former-area|ho-chi-minh|thanh-pho-thu-uc,50,MAPPED_FROM
ward|ho-chi-minh|phuong-thuan-giao,former-area|binh-duong|thanh-pho-thuan-an,6,MAPPED_FROM
ward|ho-chi-minh|phuong-trung-my-tay,former-area|ho-chi-minh|quan-12,13,MAPPED_FROM
ward|ho-chi-minh|phuong-uc-nhuan,former-area|ho-chi-minh|quan-phu-nhuan,55,MAPPED_FROM
ward|ho-chi-minh|phuong-vinh-hoi,former-area|ho-chi-minh|quan-4,17,MAPPED_FROM
ward|ho-chi-minh|phuong-vung-tau,former-area|ba-ria-vung-tau|thanh-pho-vung-tau,40,MAPPED_FROM
ward|ho-chi-minh|phuong-vuon-lai,former-area|ho-chi-minh|quan-10,31,MAPPED_FROM
ward|ho-chi-minh|phuong-xom-chieu,former-area|ho-chi-minh|quan-4,19,MAPPED_FROM
ward|ho-chi-minh|phuong-xuan-hoa,former-area|ho-chi-minh|quan-3,27,MAPPED_FROM
ward|ho-chi-minh|xa-at-o,former-area|ba-ria-vung-tau|huyen-long-at,1,MAPPED_FROM
ward|ho-chi-minh|xa-ba-iem,former-area|ho-chi-minh|huyen-hoc-mon,7,MAPPED_FROM
ward|ho-chi-minh|xa-bau-bang,former-area|binh-duong|huyen-bau-bang,2,MAPPED_FROM
ward|ho-chi-minh|xa-binh-chanh,former-area|ho-chi-minh|huyen-binh-chanh,5,MAPPED_FROM
ward|ho-chi-minh|xa-binh-hung,former-area|ho-chi-minh|huyen-binh-chanh,9,MAPPED_FROM
ward|ho-chi-minh|xa-binh-loi,former-area|ho-chi-minh|huyen-binh-chanh,6,MAPPED_FROM
ward|ho-chi-minh|xa-hiep-phuoc,former-area|ho-chi-minh|huyen-nha-be,47,MAPPED_FROM
ward|ho-chi-minh|xa-ho-tram,former-area|ba-ria-vung-tau|huyen-xuyen-moc,1,MAPPED_FROM
ward|ho-chi-minh|xa-hoc-mon,former-area|ho-chi-minh|huyen-hoc-mon,6,MAPPED_FROM
ward|ho-chi-minh|xa-hung-long,former-area|ho-chi-minh|huyen-binh-chanh,1,MAPPED_FROM
ward|ho-chi-minh|xa-nha-be,former-area|ho-chi-minh|huyen-nha-be,166,MAPPED_FROM
ward|ho-chi-minh|xa-tan-an-hoi,former-area|ho-chi-minh|huyen-cu-chi,2,MAPPED_FROM
ward|ho-chi-minh|xa-tan-nhut,former-area|ho-chi-minh|huyen-binh-chanh,46,MAPPED_FROM
ward|ho-chi-minh|xa-tan-vinh-loc,former-area|ho-chi-minh|huyen-binh-chanh,4,MAPPED_FROM
ward|ho-chi-minh|xa-tru-van-tho,former-area|binh-duong|huyen-bau-bang,15,MAPPED_FROM
ward|ho-chi-minh|xa-vinh-loc,former-area|ho-chi-minh|huyen-binh-chanh,1,MAPPED_FROM
ward|ho-chi-minh|xa-xuan-thoi-son,former-area|ho-chi-minh|huyen-hoc-mon,8,MAPPED_FROM
