:START_ID(Listing),:END_ID(FormerAdminArea),:TYPE
45265733,former-area|ho-chi-minh|quan-binh-tan,IN_FORMER_AREA
44468549,former-area|ho-chi-minh|quan-3,IN_FORMER_AREA
44456588,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
45084822,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44730914,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
44888200,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43537623,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45254034,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43356438,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44048727,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45248206,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45032480,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45250823,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44713493,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44397902,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45209742,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45222670__2,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43247491,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43238060,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
41321808,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45248655,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
43436120,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45153972,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45110391,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
44284175,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44350831,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44843875,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45088647,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
43403469,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
44791321,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44286055,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44043317,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45056277,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44729361,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44288363,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43883712,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44283417,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43572439,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45257289,former-area|ho-chi-minh|quan-binh-tan,IN_FORMER_AREA
43716231,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45261874,former-area|ho-chi-minh|huyen-hoc-mon,IN_FORMER_AREA
44077565,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43569738,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44034581,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45262776,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44881140,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
45263106,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
43866123,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45263202,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
43492362,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44073845,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43478669,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44872651,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43692251,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43693290,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45081962,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
43284841,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
42521719,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45040477,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44049181,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44781792,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44781667,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44400867,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44880200,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44762845,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45162231,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44864335,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44948688,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44897223,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44729464,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45040570,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44282741,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44239561,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45148629,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
45237880,former-area|ho-chi-minh|quan-go-vap,IN_FORMER_AREA
45165437,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
43211541,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44210257,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
