:START_ID(Listing),:END_ID(GeoCluster),:TYPE
45194899,G0065,IN_CLUSTER
45235813,G0067,IN_CLUSTER
43963943,G0075,IN_CLUSTER
45100589,G0154,IN_CLUSTER
42218073,G0613,IN_CLUSTER
44753361,G0067,IN_CLUSTER
44863961,G0067,IN_CLUSTER
45057652,G0297,IN_CLUSTER
45186771,G0280,IN_CLUSTER
44781956,G0098,IN_CLUSTER
45247231,G0098,IN_CLUSTER
44596035,G0531,IN_CLUSTER
44729161,G0456,IN_CLUSTER
44568353,G0265,IN_CLUSTER
44530340,G0332,IN_CLUSTER
43481818,G0327,IN_CLUSTER
45245632,G0466,IN_CLUSTER
44956559,G0233,IN_CLUSTER
45244476,G0622,IN_CLUSTER
45106401,G0465,IN_CLUSTER
43652465,G0507,IN_CLUSTER
44199099,G0507,IN_CLUSTER
45132364,G0506,IN_CLUSTER
44591760,G0431,IN_CLUSTER
45063282,G0584,IN_CLUSTER
45244194,G0009,IN_CLUSTER
45240822,G0642,IN_CLUSTER
43605480,G0238,IN_CLUSTER
45025864,G0490,IN_CLUSTER
45240735,G0252,IN_CLUSTER
44715266,G0233,IN_CLUSTER
44016214,G0211,IN_CLUSTER
44690504,G0121,IN_CLUSTER
44877318,G0558,IN_CLUSTER
44840033,G0297,IN_CLUSTER
43940956,G0331,IN_CLUSTER
45173212,G0393,IN_CLUSTER
44130737,G0804,IN_CLUSTER
45229622,G0221,IN_CLUSTER
44464667,G0909,IN_CLUSTER
44870654,G0331,IN_CLUSTER
43146761,G0511,IN_CLUSTER
43768536,G0786,IN_CLUSTER
43161489,G0531,IN_CLUSTER
45187377,G0804,IN_CLUSTER
45240205,G0466,IN_CLUSTER
43756300,G1047,IN_CLUSTER
44816319,G1047,IN_CLUSTER
43748419,G1047,IN_CLUSTER
45229939,G0238,IN_CLUSTER
43693887,G0804,IN_CLUSTER
44700316,G0613,IN_CLUSTER
44815299,G0067,IN_CLUSTER
44516802,G0627,IN_CLUSTER
44464713,G0627,IN_CLUSTER
44740670,G0829,IN_CLUSTER
44723700,G0631,IN_CLUSTER
45032566,G0627,IN_CLUSTER
34061984,G0627,IN_CLUSTER
43203408,G0431,IN_CLUSTER
45014980,G0231,IN_CLUSTER
45016308,G0640,IN_CLUSTER
44659061,G0526,IN_CLUSTER
45235201,G0798,IN_CLUSTER
45236710,G0067,IN_CLUSTER
45236270,G0067,IN_CLUSTER
43548457,G0210,IN_CLUSTER
45234636,G0262,IN_CLUSTER
45234641,G0763,IN_CLUSTER
43228481,G1033,IN_CLUSTER
40990762,G0627,IN_CLUSTER
45196185,G0241,IN_CLUSTER
45155260,G0241,IN_CLUSTER
45222811,G0244,IN_CLUSTER
44902020,G0431,IN_CLUSTER
44887604,G0110,IN_CLUSTER
43779678,G0804,IN_CLUSTER
44143992,G0829,IN_CLUSTER
45010170,G0065,IN_CLUSTER
44532012,G0804,IN_CLUSTER
43863458,G0835,IN_CLUSTER
43874379,G0835,IN_CLUSTER
45039157,G0909,IN_CLUSTER
43725380,G1012,IN_CLUSTER
44531634,G0798,IN_CLUSTER
44241249,G0829,IN_CLUSTER
45229457,G0067,IN_CLUSTER
45151230,G0155,IN_CLUSTER
44841772,G0067,IN_CLUSTER
44845848,G0065,IN_CLUSTER
45197810,G0818,IN_CLUSTER
45081807,G0090,IN_CLUSTER
45210622,G0097,IN_CLUSTER
45228435,G0804,IN_CLUSTER
44450031,G0408,IN_CLUSTER
44612137,G0431,IN_CLUSTER
44596902,G0098,IN_CLUSTER
43284831,G0786,IN_CLUSTER
45138926,G0829,IN_CLUSTER
45057690,G0798,IN_CLUSTER
44482148,G0350,IN_CLUSTER
45227501,G0100,IN_CLUSTER
44137008,G0627,IN_CLUSTER
42091112,G0555,IN_CLUSTER
44714707,G0829,IN_CLUSTER
45223376,G0267,IN_CLUSTER
45202954,G0144,IN_CLUSTER
44894510,G0429,IN_CLUSTER
45202949,G0144,IN_CLUSTER
44552020,G0408,IN_CLUSTER
45202945,G0144,IN_CLUSTER
44849133,G0067,IN_CLUSTER
45175379,G0405,IN_CLUSTER
44150180,G0592,IN_CLUSTER
43845012,G0804,IN_CLUSTER
44967290,G0804,IN_CLUSTER
43513035,G0613,IN_CLUSTER
45059343,G0098,IN_CLUSTER
44404341,G0786,IN_CLUSTER
44404628,G1012,IN_CLUSTER
44697172,G0139,IN_CLUSTER
44406217,G0835,IN_CLUSTER
44404468,G1012,IN_CLUSTER
45019830,G0745,IN_CLUSTER
44403119,G0853,IN_CLUSTER
45189689,G0405,IN_CLUSTER
45220208,G0124,IN_CLUSTER
41811080,G0431,IN_CLUSTER
45135899,G1009,IN_CLUSTER
45007050,G0231,IN_CLUSTER
44742649,G0447,IN_CLUSTER
42578626,G0431,IN_CLUSTER
44466821,G0566,IN_CLUSTER
44709669,G0531,IN_CLUSTER
45137809,G1009,IN_CLUSTER
44256714,G0707,IN_CLUSTER
43827262,G0480,IN_CLUSTER
44186833,G0242,IN_CLUSTER
45110563,G0531,IN_CLUSTER
44416135,G0327,IN_CLUSTER
44742828,G0329,IN_CLUSTER
43284851,G0835,IN_CLUSTER
43825788,G0909,IN_CLUSTER
45219753,G0835,IN_CLUSTER
45219725,G0829,IN_CLUSTER
45219182,G0829,IN_CLUSTER
43839734,G1025,IN_CLUSTER
45217838,G0067,IN_CLUSTER
44018090,G0682,IN_CLUSTER
45216684,G0643,IN_CLUSTER
45217453,G0507,IN_CLUSTER
45209882,G0409,IN_CLUSTER
44794760,G0153,IN_CLUSTER
43999966,G0829,IN_CLUSTER
44416443,G0422,IN_CLUSTER
44400338,G0392,IN_CLUSTER
45080633,G0073,IN_CLUSTER
43688714,G0643,IN_CLUSTER
45073124,G0921,IN_CLUSTER
45042196,G0499,IN_CLUSTER
44432528,G0350,IN_CLUSTER
43733254,G0835,IN_CLUSTER
44287640,G0290,IN_CLUSTER
44398352,G0231,IN_CLUSTER
45212694,G0804,IN_CLUSTER
44085752,G0457,IN_CLUSTER
44682333,G0290,IN_CLUSTER
44992114,G0578,IN_CLUSTER
45209379,G0221,IN_CLUSTER
45212351,G0147,IN_CLUSTER
44878181,G0643,IN_CLUSTER
45211123,G0067,IN_CLUSTER
45211193,G0067,IN_CLUSTER
45040159,G0432,IN_CLUSTER
45040121,G0432,IN_CLUSTER
45210408,G0067,IN_CLUSTER
45043852,G0332,IN_CLUSTER
45040043,G0432,IN_CLUSTER
43880424,G0835,IN_CLUSTER
44986315,G1025,IN_CLUSTER
44186979,G0331,IN_CLUSTER
45210229,G0067,IN_CLUSTER
44976878,G0297,IN_CLUSTER
43349917,G0804,IN_CLUSTER
43776876,G0431,IN_CLUSTER
44466982,G0682,IN_CLUSTER
45206979,G0238,IN_CLUSTER
45207061,G0221,IN_CLUSTER
44673234,G0585,IN_CLUSTER
44482077,G0682,IN_CLUSTER
45183463,G0807,IN_CLUSTER
44939217,G0456,IN_CLUSTER
45189772,G0409,IN_CLUSTER
43830855,G0085,IN_CLUSTER
45197190,G0516,IN_CLUSTER
44786591,G0429,IN_CLUSTER
44757351,G0558,IN_CLUSTER
44202944,G0709,IN_CLUSTER
44984489,G0587,IN_CLUSTER
44910889,G0558,IN_CLUSTER
45023942,G0909,IN_CLUSTER
44634121,G0578,IN_CLUSTER
43537036,G0804,IN_CLUSTER
45184650,G0094,IN_CLUSTER
44077990,G1019,IN_CLUSTER
45070787,G0763,IN_CLUSTER
44834862,G0682,IN_CLUSTER
44796007,G0804,IN_CLUSTER
44957726,G0431,IN_CLUSTER
44238591,G0804,IN_CLUSTER
44482740,G0331,IN_CLUSTER
44755067,G0909,IN_CLUSTER
42023574,G1048,IN_CLUSTER
40503273,G1040,IN_CLUSTER
44006156,G0835,IN_CLUSTER
45153043,G0754,IN_CLUSTER
43927670,G0285,IN_CLUSTER
45067704,G0558,IN_CLUSTER
44770429,G0587,IN_CLUSTER
42616372,G0431,IN_CLUSTER
45195327,G0280,IN_CLUSTER
44783081,G0067,IN_CLUSTER
44880023,G0067,IN_CLUSTER
45186016,G0147,IN_CLUSTER
45058996,G0642,IN_CLUSTER
44623291,G0097,IN_CLUSTER
44985017,G0067,IN_CLUSTER
45017298,G0067,IN_CLUSTER
45015767,G0640,IN_CLUSTER
44897529,G0067,IN_CLUSTER
44957970,G0067,IN_CLUSTER
45112600,G0405,IN_CLUSTER
45011469,G0392,IN_CLUSTER
45188961,G0185,IN_CLUSTER
44557949,G0431,IN_CLUSTER
44375534,G0431,IN_CLUSTER
45148799,G0948,IN_CLUSTER
45055698,G0279,IN_CLUSTER
44136516,G0628,IN_CLUSTER
44617962,G0249,IN_CLUSTER
45077493,G0185,IN_CLUSTER
45157429,G0829,IN_CLUSTER
43339881,G0829,IN_CLUSTER
45100152,G1014,IN_CLUSTER
45060924,G0216,IN_CLUSTER
45100513,G0515,IN_CLUSTER
45100628,G0498,IN_CLUSTER
45096630,G0220,IN_CLUSTER
45056608,G0460,IN_CLUSTER
45102262,G0600,IN_CLUSTER
44805963,G0587,IN_CLUSTER
45084852,G0763,IN_CLUSTER
44464018,G0835,IN_CLUSTER
44719109,G0829,IN_CLUSTER
44632413,G0804,IN_CLUSTER
45186848,G0763,IN_CLUSTER
44224180,G0600,IN_CLUSTER
44456711,G0443,IN_CLUSTER
44050394,G0549,IN_CLUSTER
45155376,G0185,IN_CLUSTER
45078531,G0921,IN_CLUSTER
43716508,G0835,IN_CLUSTER
43411750,G0522,IN_CLUSTER
