street_id:ID(Street),name:string,ward_id:string,city_province:string,:LABEL
street|099491068fccf7,48,ward|ho-chi-minh|phuong-hiep-binh,Hồ Chí Minh,Street
street|099761beebc0f8,Phan Đình Phùng,ward|ho-chi-minh|phuong-phu-nhuan,Hồ Chí Minh,Street
street|0a89477ea88ac0,Lê Lợi,ward|ho-chi-minh|xa-xuan-thoi-son,Hồ Chí Minh,Street
street|0a9904cd0e4c07,Đông Village,ward|ho-chi-minh|phuong-cat-lai,Hồ Chí Minh,Street
street|0b156c072480b7,Quang Trung,ward|ho-chi-minh|phuong-thong-tay-hoi,Hồ Chí Minh,Street
street|0b2b1f9a83d075,Đỗ Xuân Hợp,ward|ho-chi-minh|phuong-binh-trung,Hồ Chí Minh,Street
street|0ba980773cd10c,Số 7 Cư xá Đô Thành,ward|ho-chi-minh|phuong-ban-co,Hồ Chí Minh,Street
street|0bdba5acca4656,Lê Văn Chí,ward|ho-chi-minh|phuong-linh-xuan,Hồ Chí Minh,Street
street|0c60e420e21005,Cô Bắc,ward|ho-chi-minh|phuong-cau-ong-lanh,Hồ Chí Minh,Street
street|0cc4234867d181,Nguyễn Quý Cảnh,ward|ho-chi-minh|phuong-an-khanh,Hồ Chí Minh,Street
street|0cdf9e1130acbb,Hiệp Thành 5,ward|ho-chi-minh|phuong-tan-thoi-hiep,Hồ Chí Minh,Street
street|0d1f4e04c77c59,Huỳnh Tấn Phát,ward|ho-chi-minh|phuong-phu-thuan,Hồ Chí Minh,Street
street|0d23b229b2a954,Nguyễn Đình Chiểu,ward|ho-chi-minh|phuong-ban-co,Hồ Chí Minh,Street
street|0d2f69e00a6eb5,ĐT 743,ward|ho-chi-minh|phuong-di-an,Hồ Chí Minh,Street
street|0d8995909c7e5d,Thạnh Xuân 52,ward|ho-chi-minh|phuong-thoi-an,Hồ Chí Minh,Street
street|0da85d4507ecbc,Lê Văn Tiên,ward|ho-chi-minh|phuong-di-an,Hồ Chí Minh,Street
street|0db32a9704cf91,Số 16,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|0e396a1cfddbe6,Số 6D,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|0e7c4cc3a9057e,Tân Hòa Đông,ward|ho-chi-minh|phuong-binh-tri-ong,Hồ Chí Minh,Street
street|0ebd5f84ffa1a8,An Dương Vương,ward|ho-chi-minh|phuong-phu-inh,Hồ Chí Minh,Street
street|0f09420d7582fe,Số 59,ward|ho-chi-minh|phuong-an-hoi-tay,Hồ Chí Minh,Street
street|0f6a37772581a8,Võ Duy Ninh,ward|ho-chi-minh|phuong-thanh-my-tay,Hồ Chí Minh,Street
street|10349bb5884898,Khuông Việt,ward|ho-chi-minh|phuong-tan-phu,Hồ Chí Minh,Street
street|1088984b92cf72,Lò Lu,ward|ho-chi-minh|phuong-long-phuoc,Hồ Chí Minh,Street
street|11afa054ea9816,Trung Mỹ Tây 1,ward|ho-chi-minh|phuong-trung-my-tay,Hồ Chí Minh,Street
street|1217f7d14a2b65,Số 28,ward|ho-chi-minh|phuong-binh-trung,Hồ Chí Minh,Street
street|1295d800b98577,Đề Thám,ward|ho-chi-minh|phuong-ben-thanh,Hồ Chí Minh,Street
street|12c4f4c6767497,Lý Thái Tổ,ward|ho-chi-minh|phuong-vuon-lai,Hồ Chí Minh,Street
street|12ce94c52d19ac,Số 9,ward|ho-chi-minh|phuong-linh-xuan,Hồ Chí Minh,Street
street|12ebb5bb2ce9d9,Phan Đăng Lưu,ward|ho-chi-minh|phuong-vung-tau,Hồ Chí Minh,Street
street|12ecff92523fec,Số 5,ward|ho-chi-minh|phuong-binh-hung-hoa,Hồ Chí Minh,Street
street|130580e076c065,Tam Châu,ward|ho-chi-minh|phuong-tam-binh,Hồ Chí Minh,Street
street|13899046d47ca9,Số 339,ward|ho-chi-minh|phuong-phuoc-long,Hồ Chí Minh,Street
street|139e4e1ea88429,Nguyễn Thị Huỳnh,ward|ho-chi-minh|phuong-phu-nhuan,Hồ Chí Minh,Street
street|13c6c22d161869,Bà Hạt,ward|ho-chi-minh|phuong-dien-hong,Hồ Chí Minh,Street
street|140f0c01b7c433,Mạc Đĩnh Chi,ward|ho-chi-minh|phuong-sai-gon,Hồ Chí Minh,Street
street|142aaa4c6553e8,Lê Quang Định,ward|ho-chi-minh|phuong-binh-loi-trung,Hồ Chí Minh,Street
street|143109baf530de,Bùi Văn Ngữ,ward|ho-chi-minh|phuong-tan-thoi-hiep,Hồ Chí Minh,Street
street|153a1243066d9b,Nguyễn Hữu Trí,ward|ho-chi-minh|xa-tan-nhut,Hồ Chí Minh,Street
street|15620ccd5b694e,Số 48,ward|ho-chi-minh|phuong-vinh-hoi,Hồ Chí Minh,Street
street|156604d2aeb159,Lê Hồng Phong,ward|ho-chi-minh|phuong-tan-ong-hiep,Hồ Chí Minh,Street
street|15a189de8486b1,Nguyễn Trọng Tuyển,ward|ho-chi-minh|phuong-phu-nhuan,Hồ Chí Minh,Street
street|15da66f479a908,Lạc Hồng,ward|ho-chi-minh|phuong-bay-hien,Hồ Chí Minh,Street
street|163b06040eb1ff,Cách Mạng Tháng Tám,ward|ho-chi-minh|phuong-hoa-hung,Hồ Chí Minh,Street
street|164ab8bf7776b0,Vĩnh Viễn,ward|ho-chi-minh|phuong-dien-hong,Hồ Chí Minh,Street
street|169bb03339d82b,Trần Quốc Thảo,ward|ho-chi-minh|phuong-nhieu-loc,Hồ Chí Minh,Street
street|16d9a12ae40908,Số 22,ward|ho-chi-minh|phuong-tam-binh,Hồ Chí Minh,Street
street|175425eb4015d3,Thất Sơn,ward|ho-chi-minh|phuong-hoa-hung,Hồ Chí Minh,Street
street|1763f2a662a058,Số 3,ward|ho-chi-minh|phuong-thong-tay-hoi,Hồ Chí Minh,Street
street|17807d4369bf1c,Nguyễn Thị Thập,ward|ho-chi-minh|phuong-tan-my,Hồ Chí Minh,Street
street|17989bbdfe3d3f,Phan Đăng Lưu,ward|ho-chi-minh|phuong-uc-nhuan,Hồ Chí Minh,Street
street|180763a6d59a33,ĐT 743B,ward|ho-chi-minh|phuong-tan-ong-hiep,Hồ Chí Minh,Street
street|182baca72d1337,Lê Đức Thọ,ward|ho-chi-minh|phuong-an-hoi-ong,Hồ Chí Minh,Street
street|185d7c8de017dd,Số 672,ward|ho-chi-minh|phuong-phuoc-long,Hồ Chí Minh,Street
street|18ae4a175ffe51,Bùi Văn Ba,ward|ho-chi-minh|phuong-tan-thuan,Hồ Chí Minh,Street
street|18af2b25c52e11,Trương Văn Hải,ward|ho-chi-minh|phuong-tang-nhon-phu,Hồ Chí Minh,Street
street|19068142236d88,DX 02,ward|ho-chi-minh|phuong-binh-duong,Hồ Chí Minh,Street
street|193fb0ccda1172,27,ward|ho-chi-minh|phuong-hiep-binh,Hồ Chí Minh,Street
street|194b7e6fd59510,Xô Viết Nghệ Tĩnh,ward|ho-chi-minh|phuong-vung-tau,Hồ Chí Minh,Street
street|199a23815b3cc1,Số 12,ward|ho-chi-minh|phuong-thu-uc,Hồ Chí Minh,Street
street|19d8c9d52b9f26,Yên Đỗ,ward|ho-chi-minh|phuong-tan-son-nhi,Hồ Chí Minh,Street
street|1a2f6e0b3a3156,Nguyễn Hữu Huân,ward|ho-chi-minh|xa-at-o,Hồ Chí Minh,Street
street|1a5f31c1920c1c,Huỳnh Văn Nghệ,ward|ho-chi-minh|phuong-an-hoi-tay,Hồ Chí Minh,Street
street|1a7578ebeeafc0,Võ Công Tồn,ward|ho-chi-minh|phuong-phu-tho-hoa,Hồ Chí Minh,Street
street|1a9ba0b2d39c10,Mai Chí Thọ,ward|ho-chi-minh|phuong-an-khanh,Hồ Chí Minh,Street
street|1aa6055299dcf5,Bạch Đằng,ward|ho-chi-minh|phuong-gia-inh,Hồ Chí Minh,Street
street|1aca22f6cdeb1f,265,ward|ho-chi-minh|phuong-tang-nhon-phu,Hồ Chí Minh,Street
street|1af4a7b34740ed,Huỳnh Tịnh Của,ward|ho-chi-minh|phuong-xuan-hoa,Hồ Chí Minh,Street
street|1b0cc29ebf0319,Nguyễn Văn Khối,ward|ho-chi-minh|phuong-thong-tay-hoi,Hồ Chí Minh,Street
street|1b256cde420766,Trần Hưng Đạo,ward|ho-chi-minh|phuong-cho-lon,Hồ Chí Minh,Street
street|1b75ce5a8e476f,Hẻm 713 Trần Xuân Soạn,ward|ho-chi-minh|phuong-tan-hung,Hồ Chí Minh,Street
street|1bdc8599841978,Võ Trứ,ward|ho-chi-minh|phuong-chanh-hung,Hồ Chí Minh,Street
street|1bee6b12deebc2,Phan Bội Châu,ward|ho-chi-minh|phuong-thu-dau-mot,Hồ Chí Minh,Street
street|1c10790d6a2cb7,Số 12,ward|ho-chi-minh|phuong-an-khanh,Hồ Chí Minh,Street
street|1c3ea2491ad967,Số 4F,ward|ho-chi-minh|phuong-tan-thuan,Hồ Chí Minh,Street
street|1c524ab06d13cb,Số 2,ward|ho-chi-minh|phuong-hanh-thong,Hồ Chí Minh,Street
street|1cf2668ae9d899,Huỳnh Văn Bánh,ward|ho-chi-minh|phuong-cau-kieu,Hồ Chí Minh,Street
street|1d10d51f1df62b,3,ward|ho-chi-minh|phuong-an-khanh,Hồ Chí Minh,Street
street|1d1c6884c83ff5,3/2,ward|ho-chi-minh|phuong-tam-thang,Hồ Chí Minh,Street
street|1d7115b556063e,Nguyễn Thái Sơn,ward|ho-chi-minh|phuong-hanh-thong,Hồ Chí Minh,Street
street|1df89c4b9a6e21,Thạnh Lộc 37,ward|ho-chi-minh|phuong-an-phu-ong,Hồ Chí Minh,Street
