cluster_id:ID(GeoCluster),centroid_latitude:float,centroid_longitude:float,listing_count:int,representative_geohash_6:string,representative_geohash_7:string,:LABEL
G0450,10.78447038,106.67300601,1,w3gv77,w3gv77k,GeoCluster
G0451,10.78459733,106.52385523,1,w3gv25,w3gv252,GeoCluster
G0452,10.78465464,106.64215078,2,w3gv6e,w3gv6eq,GeoCluster
G0453,10.78465932,106.80055883,1,w3gvq7,w3gvq73,GeoCluster
G0454,10.7846674,106.77907656,1,w3gvmg,w3gvmg6,GeoCluster
G0455,10.78478818,106.77187183,1,w3gvme,w3gvmek,GeoCluster
G0456,10.78484925,106.68308589,3,w3gv7e,w3gv7ek,GeoCluster
G0457,10.78491192,106.66838499,14,w3gv77,w3gv773,GeoCluster
G0458,10.78530233,106.61228296,1,w3gv65,w3gv652,GeoCluster
G0459,10.78532269,106.69873612,2,w3gv7g,w3gv7gr,GeoCluster
G0460,10.78544613,106.62494841,2,w3gv67,w3gv673,GeoCluster
G0461,10.78551255,106.65337488,1,w3gv6g,w3gv6gq,GeoCluster
G0462,10.78560808,106.76243736,1,w3gvm7,w3gvm7q,GeoCluster
G0463,10.78575185,106.62189501,2,w3gv65,w3gv65r,GeoCluster
G0464,10.78602139,106.61522776,1,w3gv65,w3gv65d,GeoCluster
G0465,10.78609202,106.73163492,5,w3gvke,w3gvker,GeoCluster
G0466,10.78621617,106.69275744,3,w3gv7g,w3gv7ge,GeoCluster
G0467,10.78626213,106.76805154,1,w3gvme,w3gvmed,GeoCluster
G0468,10.78636419,106.77201829,2,w3gvme,w3gvmes,GeoCluster
G0469,10.78647132,106.62803586,3,w3gv67,w3gv67s,GeoCluster
G0470,10.78660215,106.85628411,1,w3gvre,w3gvred,GeoCluster
G0471,10.78663307,106.65648711,1,w3gv75,w3gv758,GeoCluster
G0472,10.78668172,106.70153086,2,w3gvk5,w3gvk59,GeoCluster
G0473,10.78682761,106.69046283,1,w3gv7g,w3gv7g9,GeoCluster
G0474,10.78702347,106.76024314,2,w3gvm7,w3gvm7s,GeoCluster
G0475,10.78702412,106.6186101,1,w3gv65,w3gv65t,GeoCluster
G0476,10.78718429,106.65160999,2,w3gv6g,w3gv6gt,GeoCluster
G0477,10.78734981,106.67144032,1,w3gv77,w3gv77g,GeoCluster
G0478,10.78736567,106.64705547,2,w3gv6g,w3gv6gf,GeoCluster
G0479,10.78739897,106.68817982,1,w3gv7e,w3gv7ez,GeoCluster
G0480,10.78743733,106.6984104,1,w3gv7g,w3gv7gz,GeoCluster
G0481,10.78746369,106.76422496,3,w3gvm7,w3gvm7z,GeoCluster
G0482,10.78756969,106.67783076,12,w3gv7e,w3gv7eb,GeoCluster
G0483,10.78765002,106.68612153,6,w3gv7e,w3gv7ey,GeoCluster
G0484,10.78789228,106.64130099,1,w3gv6e,w3gv6ev,GeoCluster
G0485,10.78792212,106.65694288,1,w3gv75,w3gv75c,GeoCluster
G0486,10.78801821,106.63132419,1,w3gv67,w3gv67y,GeoCluster
G0487,10.78816445,106.62974476,3,w3gv67,w3gv67v,GeoCluster
G0488,10.78831837,106.73253727,1,w3gvkg,w3gvkgb,GeoCluster
G0489,10.78834263,106.65887711,3,w3gv75,w3gv75f,GeoCluster
G0490,10.78844,106.6244,2,w3gv67,w3gv67c,GeoCluster
G0491,10.78859151,106.64895579,1,w3gv6u,w3gv6u5,GeoCluster
G0492,10.78868912,106.66129454,7,w3gv7h,w3gv7hh,GeoCluster
G0493,10.78871622,106.66949479,3,w3gv7k,w3gv7k4,GeoCluster
G0494,10.78873987,106.59661334,1,w3gv3s,w3gv3sj,GeoCluster
G0495,10.78883915,106.78076525,2,w3gvmu,w3gvmu5,GeoCluster
G0496,10.7889243,106.75949699,1,w3gvmk,w3gvmk5,GeoCluster
G0497,10.78899359,106.79992381,1,w3gvqk,w3gvqk1,GeoCluster
G0498,10.78903518,106.6338051,1,w3gv6s,w3gv6s0,GeoCluster
G0499,10.78904036,106.69870986,7,w3gv7u,w3gv7up,GeoCluster
G0500,10.78931939,106.80375421,1,w3gvqk,w3gvqkh,GeoCluster
G0501,10.7893672,106.70284883,4,w3gvkh,w3gvkh4,GeoCluster
G0502,10.789475,106.67498046,9,w3gv7k,w3gv7kn,GeoCluster
G0503,10.78953462,106.58930408,1,w3gv3k,w3gv3kp,GeoCluster
G0504,10.78974943,106.63640249,1,w3gv6s,w3gv6s4,GeoCluster
G0505,10.78977629,106.69387985,2,w3gv7u,w3gv7uh,GeoCluster
G0506,10.78982048,106.71815993,5,w3gvkk,w3gvkkm,GeoCluster
G0507,10.78989426,106.75553105,3,w3gvmk,w3gvmk0,GeoCluster
G0508,10.79022256,106.67090184,1,w3gv7k,w3gv7k7,GeoCluster
G0509,10.79022815,106.73245194,1,w3gvku,w3gvku2,GeoCluster
G0510,10.7902611,106.6459785,2,w3gv6u,w3gv6u2,GeoCluster
G0511,10.79051261,106.71053281,1,w3gvkk,w3gvkk2,GeoCluster
G0512,10.79076757,106.7971517,1,w3gvqh,w3gvqhr,GeoCluster
G0513,10.7907852,106.57303922,1,w3gv3h,w3gv3hk,GeoCluster
G0514,10.7909852,106.68601068,8,w3gv7s,w3gv7sq,GeoCluster
G0515,10.7909858,106.64361139,11,w3gv6s,w3gv6sx,GeoCluster
G0516,10.79110761,106.6220467,4,w3gv6h,w3gv6hr,GeoCluster
G0517,10.79135878,106.62758451,1,w3gv6k,w3gv6ke,GeoCluster
G0518,10.79137902,106.66256901,7,w3gv7h,w3gv7hs,GeoCluster
G0519,10.7914,106.69392006,2,w3gv7u,w3gv7ue,GeoCluster
G0520,10.7916282,106.67177901,10,w3gv7k,w3gv7ke,GeoCluster
G0521,10.79174278,106.65589816,1,w3gv7h,w3gv7h8,GeoCluster
G0522,10.79175212,106.77594829,1,w3gvms,w3gvmsx,GeoCluster
G0523,10.79177568,106.71595762,2,w3gvkk,w3gvkks,GeoCluster
G0524,10.791776,106.67497167,6,w3gv7k,w3gv7kw,GeoCluster
G0525,10.79182785,106.59374965,1,w3gv3s,w3gv3se,GeoCluster
G0526,10.79209266,106.71821613,2,w3gvkk,w3gvkkt,GeoCluster
G0527,10.79211136,106.69663812,5,w3gv7u,w3gv7uw,GeoCluster
G0528,10.79223019,106.69164086,10,w3gv7u,w3gv7ud,GeoCluster
G0529,10.79229976,106.77826026,3,w3gvmu,w3gvmu9,GeoCluster
G0530,10.79240137,106.6890851,1,w3gv7u,w3gv7u8,GeoCluster
G0531,10.79255926,106.71173624,5,w3gvkk,w3gvkk9,GeoCluster
G0532,10.79256652,106.60679868,2,w3gv3u,w3gv3us,GeoCluster
G0533,10.79266859,106.67738889,6,w3gv7s,w3gv7s8,GeoCluster
G0534,10.7928142,106.64848519,2,w3gv6u,w3gv6uf,GeoCluster
